Baseboard,Model,List,Branch
,Surface Book,W,PROD
,Surface Pro 4,W,PROD
,Virtual Machine,W,PROD
,VMware Virtual Platform,W,PROD
,VMware71,W,PROD
03441V,Latitude 5590,G,DEV
18E5,HP EliteDesk 800 G1 USDT,W,PROD
18E7,HP ProDesk 600 G1 SFF,W,PROD
198F,HP EliteBook 840 G1,W,PROD
1993,HP ProBook 640 G1,W,PROD
2101,HP ProBook 640 G1,W,PROD
2129,HP Z840 Workstation,W,PROD
212A,HP Z640 Workstation,G,Prod
212B,HP Z440 Workstation,W,PROD
213E,HP EliteBook Folio 1040 G1,W,PROD
21B3,HP EliteBook Revolve 810 G2,W,PROD
2216,HP EliteBook 840 G2,W,PROD
2270,HP EliteBook Folio 1040 G2,W,PROD
22FB,HP EliteBook Revolve 810 G3,W,PROD
802E,HP Z240 SFF Workstation,W,PROD
802F,HP Z240 Tower Workstation,W,PROD
8055,HP EliteDesk 800 G2 DM 35W,W,PROD
805D,HP ProDesk 600 G2 MT,W,PROD
805D,HP ProDesk 600 G2 SFF,W,PROD
8062,HP ProDesk 400 G3 SFF,W,PROD
8079,HP EliteBook 840 G3,W,PROD
80D4,HP ZBook Studio G3,W,PROD
80FA,HP EliteBook Folio 1040 G3,W,PROD
8102,HP ProBook 470 G3,G,PROD
8169,HP ProDesk 600 G2 DM,W,PROD
81C5,HP Z4 G4 Workstation,W,PROD
81C5,HP Z4 Tower G4 Workstation,W,PROD
828B,HP Pro x2 612 G2,W,PROD
829A,HP EliteDesk 800 G3 DM 35W,W,PROD
829D,HP ProDesk 600 G3 MT,W,PROD
829E,HP ProDesk 600 G3 DM,W,PROD
82A1,HP ProDesk 400 G4 MT,W,PROD
82A2,HP ProDesk 400 G4 SFF,W,PROD
82A5,HP ProDesk 400 G3 DM,W,PROD
82B4,HP ProDesk 600 G3 SFF,W,PROD
82CA,HP Elite X2 1012 G2,W,PROD
8300,HP EliteBook X360 1020 G2,G,PROD
837B,HP ProBook 440 G5,W,PROD
83B2,HP EliteBook 840 G5,W,PROD
83EE,HP ProDesk 600 G4 SFF,W,PROD
83F2,HP ProDesk 400 G5 SFF,W,PROD
83F3,HP ProDesk 400 G4 DM,W,PROD
8416,HP ProBook 650 G4,W,PROD
8427,HP Zbook Studio G5,W,PROD
8455,HP Z2 Tower G4 Workstation,W,PROD
84D8,HP ProBook x360 440 G1,W,PROD
8548,HP EliteBook X360 830 G6,W,PROD
8549,HP EliteBook 840 G6,W,PROD
856E,HP ProBook 650 G5,W,PROD
8597,HP ProDesk 600 G5 SFF,W,PROD
8598,HP ProDesk 600 G5 DM,W,PROD
861F,HP Elite Dragonfly,W,PROD
Surface Go,Microsoft Surface Go,W,PROD
